N	M	D	H	Qh
836	2	4	19	24967.9552149928
837	2	4	20	26679.1410676717
838	2	4	21	28212.1842457741
839	2	4	22	29583.5959929889
840	2	4	23	30906.0599519739
841	2	5	0	32184.1128731876
842	2	5	1	33421.8710160712
843	2	5	2	34564.4474713254
844	2	5	3	35640.204752076
845	2	5	4	36635.7954768489
846	2	5	5	37539.1093729377
847	2	5	6	38358.699164769
848	2	5	7	39102.3248631939
849	2	5	8	37644.7464261958
850	2	5	9	35131.1004727677
851	2	5	10	31397.7926921098
852	2	5	11	27335.4484028573
853	2	5	12	26511.9883405475
854	2	5	13	26098.2327054592
855	2	5	14	26276.7491485476
856	2	5	15	27092.3768520447
857	2	5	16	28584.8338861001
858	2	5	17	30117.1119172523
859	2	5	18	31507.3699859283
860	2	5	19	32788.3118344062
861	2	5	20	33833.2856389798
862	2	5	21	34683.7027672564
863	2	5	22	35338.0552525607
864	2	5	23	36146.7048018767
865	2	6	0	37075.8097635701
866	2	6	1	38133.7462173633
867	2	6	2	39210.8705994531
868	2	6	3	40305.4044670284
869	2	6	4	41415.7342131432
870	2	6	5	42403.6119360949
871	2	6	6	43299.9277138322
872	2	6	7	44093.6274610578
873	2	6	8	41381.330122698
874	2	6	9	36716.2457434176
875	2	6	10	30358.7587354912
876	2	6	11	24103.9452626126
877	2	6	12	18406.7728312471
878	2	6	13	13482.1885125632
879	2	6	14	10404.4452481617
880	2	6	15	10206.8996256833
881	2	6	16	12623.2425199646
882	2	6	17	15498.1448480783
883	2	6	18	18204.2881552377
884	2	6	19	20737.7734060572
885	2	6	20	23036.4412980578
886	2	6	21	25141.596547013
887	2	6	22	27051.6344194959
